UserLocation;IdPost;TextPost;Hashtags;Date;TweetLat;TweetLon;PhotoLat;PhotoLon
;8,15E+17;HA HA Senegal voted against Israel!! HELL YEAH!!;;30/12/2016 23:59;;;;
;8,15E+17;If you would like to own this Twitter handle @Hausa , Contact us at info@Logogh.com. Thanks #Nigeria #Hausa #Senegal #Africa #Twitterhandle pic.twitter.com/v2wvH4nuGw;#Nigeria #Hausa #Senegal #Africa #Twitterhandle;30/12/2016 23:58;;;;
CBX ,Salvador, Bahia;8,15E+17;Gostei de um vídeo @YouTube http:// youtu.be/NFT94pNvR-w?aF alc … ão se disfarça de Morador de rua e Joga Com Crianças Carentes;;30/12/2016 23:58;;;;
Leicester, England;8,15E+17;Mane leads Senegal 's 23-man AFCON squad http://www. leicesterfootball.net/mane-leads-sen egals-23-man-afcon-squad/ … pic.twitter.com/OUFbVLETem;;30/12/2016 23:57;;;;
;8,15E+17;#Jakaarlobi Papis je suis navré mais pensez vous que le Pr DIEME n'a rien apporter a la gambie? Tous les mots de la gambie c'est le Sénégal .;#Jakaarlobi;30/12/2016 23:57;;;;
France;8,15E+17;#paris #sénégal cette jeune fille retrouve sa vidéo intime sur le web http:// youtube.com/watch?v=TKv04h _FInY&feature=youtu.be … http:// senews.net/paris-senegal- cette-jeune-fille-retrouve-sa-video-intime-sur-le-web/ …;#paris #s;30/12/2016 23:57;;;;
Dakar, Sénégal;8,15E+17;Fin d’année : Macky Sall gracie 497 prisonniers: 497 prisonniers vont humer l’air de la... | #kebetu #Senegal http://www. pressafrik.com/Fin-d-annee-Ma cky-Sall-gracie-497-prisonniers_a159042.html …;#kebetu #Senegal;30/12/2016 23:56;;;;
Sénégal-Dakar-Les Almadis;8,15E+17;Images - le Grand Bal en direct de MBOUR;;30/12/2016 23:54;;;;
Ciudad Real;8,15E+17;Cospedal visita el destacamento español en Senegal http:// buff.ly/2idnqR7 pic.twitter.com/MM5VvZPy15;;30/12/2016 23:52;;;;
Sénégal-Dakar-Les Almadis;8,15E+17;Images - le grand Bal en direct de MBOUR;;30/12/2016 23:51;;;;
